Entity Name,EPA Holdings,LLC Holdings,Difference
ESCO Technologies Inc,7700,5200,2500
Esperion Therapeutics Inc,35952,50702,-14750
Essential Properties Realty Trust Inc,56900,0,56900
Essex Property Trust Inc,39236,39186,50
Estee Lauder Cos Inc/The,214053,189834,24219
Ethan Allen Interiors Inc,24234,20634,3600
Etsy Inc,108180,73168,35012
Euronet Worldwide Inc,6566,6566,0
Everbridge Inc,3276,3276,0
Evercore Partners Inc,167924,63824,104100
Everest Re Group Ltd,20550,20600,-50
Evergy Inc,411866,328146,83720
EVERTEC Inc,43900,37300,6600
EW Scripps Co,61454,54654,6800
Exact Sciences Corp,2247662,2111378,136284
Exelixis Inc,281791,262891,18900
Exelon Corp,1023558,1245626,-222068
ExlService Holdings Inc,28252,25852,2400
Expedia Inc,155465,91297,64168
Expeditors International of Washington Inc,40859,36072,4787
Exponent Inc,61032,46132,14900
Extended Stay America Inc,1636792,1038884,597908
Exterran Corp,43601,35501,8100
Extra Space Storage Inc,97819,101616,-3797
Extreme Networks,105200,101400,3800
Exxon Mobil Corp,4167967,4342392,-174425
F5 Networks Inc,346483,359633,-13150
Fabrinet,30552,27252,3300
Facebook Inc,2620718,2607749,12969
FactSet Research Systems Inc,75605,64225,11380
Fair Isaac Corp,24440,23820,620
FARO Technologies Inc,15650,13150,2500
Fastenal Co,7781471,7905816,-124345
Fastly Inc,1275790,0,1275790
Fate Therapeutics Inc,14273,14273,0
Federal Realty Investment Trust,34988,34438,550
Federal Signal Corp,50176,45176,5000
Federated Investors Inc,68400,58600,9800
FedEx Corp,86548,165021,-78473
Ferrari NV,6150,6150,0
Ferro Corp,57400,43200,14200
Fiat Chrysler Automobiles NV,44193,44193,0
Fidelity National Information Services Inc,229590,117495,112095
Fiesta Restaurant Group Inc,51966,44666,7300
Fifth Third Bancorp,165995,203558,-37563
First American Financial Corp,112111,80461,31650
First BanCorp/Puerto Rico,218000,197200,20800
First Financial Bancorp,71500,64400,7100
First Financial Bankshares Inc,109054,109054,0
First Horizon National Corp,321458,254265,67193
First Industrial Realty Trust Inc,99378,92078,7300
First Midwest Bancorp Inc/IL,107455,95455,12000
First Republic Bank/CA,2351775,2431678,-79903
First Solar Inc,80397,79749,648
First Trust Senior Loan ETF,184100,184100,0
FirstEnergy Corp,167265,159815,7450
Fiserv Inc,197808,196769,1039
Five Below Inc,70718,45518,25200
Five9 Inc,6209,4277,1932
FleetCor Technologies Inc,18051,32101,-14050
Flextronics International Ltd,29141,0,29141
FLIR Systems Inc,144478,136337,8141
Flowers Foods Inc,250413,139643,110770
Flowserve Corp,50434,52034,-1600
Fluor Corp,144036,97400,46636
FMC Corp,632880,641827,-8947
FMC Technologies Inc,193687,114873,78814
FNB Corp/PA,272996,214725,58271
Foot Locker Inc,36600,88200,-51600
Ford Motor Co,1403715,1400165,3550
FormFactor Inc,73900,72400,1500
Fortinet Inc,220254,232173,-11919
Fortis Inc/Canada,17764,17600,164
Fortive Corp,2719975,2791274,-71299
Fortress Transportation & Infrastructure Investors,796957,786724,10233
Fortune Brands Home & Security Inc,43400,114786,-71386
Forward Air Corp,24288,20988,3300
Fossil Group Inc,47100,44300,2800
Four Corners Property Trust Inc,79429,71029,8400
Fox Factory Holding Corp,29655,26955,2700
Franco-Nevada Corp,9750,9725,25
Franklin Electric Co Inc,25785,24085,1700
Franklin Financial Network Inc,21400,21200,200
Franklin Resources Inc,167963,416213,-248250
Franklin Street Properties Corp,88482,82182,6300
Freeport-McMoRan Copper & Gold Inc,397193,403449,-6256
frontdoor Inc,80532,57392,23140
FTI Consulting Inc,30437,30437,0
Fulton Financial Corp,168260,141060,27200
FutureFuel Corp,22799,20999,1800
Galera Therapeutics Inc,25000,0,25000
Gap Inc/The,146806,138806,8000
Gardner Denver Holdings Inc,308385,317685,-9300
Garmin Ltd,57137,87107,-29970
Garrett Motion Inc,47300,47300,0
Gartner Inc,19157,20557,-1400
GATX Corp,31339,28239,3100
General Dynamics Corp,21573,23473,-1900
General Electric Co,919356,978063,-58707
General Mills Inc,179729,178935,794
General Motors Co,525856,216706,309150
Genesco Inc,18731,17931,800
Genpact Ltd,68107,106915,-38808
Gentex Corp/MI,909261,1028661,-119400
Gentherm Inc,27452,27452,0
Genuine Parts Co,56972,58272,-1300
Geospace Technologies Corp,19935,19835,100
Gibraltar Industries Inc,30317,22617,7700
G-III Apparel Group Ltd,38431,38431,0
Gildan Activewear Inc,29300,29300,0
Gilead Sciences Inc,875415,850294,25121
Glacier Bancorp Inc,66408,61408,5000
Global Blood Therapeutics Inc,28762,28412,350
Global Net Lease Inc,60700,48900,11800
Global Payments Inc,64100,76436,-12336
Globus Medical Inc,57222,52322,4900
GMS Inc,37300,30300,7000
GoDaddy Inc,2133,2133,0
Goldman Sachs ActiveBeta International Equity ETF,1247434,1289257,-41823
Goldman Sachs ActiveBeta U.S. Large Cap Equity ETF,694233,717397,-23164
Goldman Sachs Group Inc/The,58508,85222,-26714
Goodyear Tire & Rubber Co/The,141100,363200,-222100
Google Inc,783705,770426,13279
Gossamer Bio Inc,254309,273409,-19100
Government Properties Income Trust,50300,45600,4700
Graco Inc,141029,165079,-24050
GrafTech International Ltd,31449,6600,24849
Grand Canyon Education Inc,3279,3279,0
Granite Construction Inc,45702,37802,7900
Granite Point Mortgage Trust Inc,21700,10800,10900
Great Western Bancorp Inc,55503,49603,5900
Green Dot Corp,44119,38519,5600
Green Plains Renewable Energy Inc,79003,79003,0
Greenbrier Cos Inc,34870,29670,5200
Greenhill & Co Inc,24505,24505,0
Greif Inc,22686,19386,3300
Griffon Corp,28782,23782,5000
Gritstone Oncology Inc,374376,371461,2915
Grocery Outlet Holding Corp,6078,0,6078
Group 1 Automotive Inc,19717,19717,0
GrubHub Inc,70300,68500,1800
H&R Block Inc,271129,360040,-88911
Haemonetics Corp,44071,43816,255
Halfmoon Parent Inc,1313686,1265127,48559
Halliburton Co,467680,727101,-259421
Halozyme Therapeutics Inc,17847,17847,0
Hancock Holding Co,66586,56486,10100
Hanesbrands Inc,259680,265480,-5800
Hanmi Financial Corp,27000,24800,2200
Hanover Insurance Group Inc/The,49274,33788,15486
Harley-Davidson Inc,68706,73306,-4600
Harsco Corp,68554,58754,9800
Hartford Financial Services Group Inc,279568,224547,55021
Hasbro Inc,99080,93340,5740
Hawaiian Electric Industries Inc,92859,160309,-67450
Hawaiian Holdings Inc,42234,41734,500
Hawkins Inc,9351,9351,0
HB Fuller Co,46171,41771,4400
HCA Holdings Inc,296674,279358,17316
HCP Inc,691838,691088,750
Health Care REIT Inc,337513,362563,-25050
Health Catalyst Inc,211347,223928,-12581
Healthcare Realty Trust Inc,103878,103078,800
Healthcare Services Group Inc,1187026,1163221,23805
Healthcare Trust of America Inc,8258,0,8258
HealthEquity Inc,420069,421934,-1865
HealthSouth Corp,310572,396506,-85934
Healthways Inc,43172,43172,0
Heartland Express Inc,43154,37154,6000
HEICO Corp,99165,17752,81413
Helen of Troy Ltd,17737,17737,0
Helix Energy Solutions Group Inc,155900,137000,18900
Helmerich & Payne Inc,104132,61912,42220
Henry Schein Inc,309184,342784,-33600
Herbalife Ltd,68300,53630,14670
Herman Miller Inc,50069,46969,3100
Heron Therapeutics Inc,10739,9739,1000
Hersha Hospitality Trust,18800,8000,10800
Hershey Co/The,200779,205187,-4408
Hess Corp,44077,47977,-3900
Hewlett Packard Enterprise Co,2201478,2829728,-628250
Hewlett-Packard Co,1440408,1073205,367203
Hexcel Corp,12300,0,12300
Hibbett Sports Inc,24129,24129,0
Highwoods Properties Inc,83066,97234,-14168
Hillenbrand Inc,51392,40092,11300
Hill-Rom Holdings Inc,55688,45988,9700
Hilton Worldwide Holdings Inc,124087,109987,14100
HMS Holdings Corp,72120,64220,7900
HNI Corp,34583,30483,4100
HollyFrontier Corp,422046,299154,122892
Hologic Inc,63977,64277,-300
Home BancShares Inc/AR,103626,93926,9700
Home Depot Inc/The,1694180,1652682,41498
HomeStreet Inc,39318,34318,5000
Homology Medicines Inc,12950,12950,0
Honeywell International Inc,339916,336805,3111
HOPE BANCORP INC,127638,118038,9600
Horace Mann Educators Corp,36619,32619,4000
Horizon Pharma Plc,114360,27058,87302
Hormel Foods Corp,746442,837898,-91456
Hospitality Properties Trust,1152438,1207728,-55290
Host Hotels & Resorts Inc,2496676,2421926,74750
HS Spinco Inc,83500,96961,-13461
Hub Group Inc,31920,27120,4800
Hubbell Inc,43222,38022,5200
HubSpot Inc,32920,32114,806
Humana Inc,116469,86187,30282
Huntington Bancshares Inc/OH,195600,200450,-4850
Huntington Ingalls Industries Inc,29750,63362,-33612
Huntsman Corp,277094,148793,128301
IAA Inc,18480,8361,10119
IAC/InterActiveCorp,3160,0,3160
Ichor Holdings Ltd,33800,33800,0
ICU Medical Inc,15535,13427,2108
IDACORP Inc,46703,46703,0
IDEX Corp,47980,33700,14280
IDEXX Laboratories Inc,31627,14958,16669
IGM Biosciences Inc,74236,100000,-25764
IHS Markit Ltd,212064,222590,-10526
II-VI Inc,78352,49552,28800
Illinois Tool Works Inc,1062875,1141283,-78408
Illumina Inc,41974,156027,-114053
Imperial Oil Ltd,15006,15006,0
INC Research Holdings Inc,58758,50558,8200
Incyte Corp Ltd,36350,44117,-7767
Independent Bank Corp/Rockland MA,26151,23651,2500
Industrial Select Sector SPDR Fund,11652,11043,609
Ingersoll-Rand PLC,48029,45623,2406
Ingevity Corp,30235,26235,4000
Ingredion Inc,406550,328650,77900
Innospec Inc,19252,16652,2600
Innovative Industrial Properties Inc,10200,9100,1100
Inogen Inc,15435,14335,1100
Inphi Corp,5479,4300,1179
Insight Enterprises Inc,29235,24235,5000
Insperity Inc,552426,505977,46449
Installed Building Products Inc,19034,16034,3000
INTEGER HOLDINGS CORP,28836,23636,5200
Integra LifeSciences Holdings Corp,59967,59152,815
Intel Corp,10096630,10402652,-306022
Intelligent Systems Corp,40000,0,40000
Inter Parfums Inc,16735,15035,1700
Interactive Brokers Group Inc,437609,429132,8477
IntercontinentalExchange Inc,2586075,2580194,5881
InterDigital Inc/PA,29788,29788,0
Interface Inc,61274,55374,5900
International Bancshares Corp,50097,46197,3900
International Business Machines Corp,417672,440379,-22707
International Flavors & Fragrances Inc,87734,98886,-11152
International Paper Co,795779,821279,-25500
Interpublic Group of Cos Inc/The,685381,783469,-98088
Intuit Inc,97797,132833,-35036
Intuitive Surgical Inc,271197,276370,-5173
Invesco Ltd,271408,894884,-623476
Invesco Mortgage Capital Inc,97900,75100,22800
Invitae Corp,7961,6961,1000
IPG Photonics Corp,18472,19272,-800
Iridium Communications Inc,81434,69034,12400
iRobot Corp,23535,20535,3000
Iron Mountain Inc,355701,298451,57250
iShares Core MSCI Emerging Markets ETF,5413214,3498236,1914978
iShares Core S&P 500 ETF,856748,1287256,-430508
iShares Core S&P Mid-Cap ETF,192608,198780,-6172
iShares iBoxx $ Investment Grade Corporate Bond ET,35825,35825,0
iShares MSCI EAFE ETF,673525,673525,0
iShares MSCI South Korea ETF,446669,446669,0
iShares Russell 1000 Growth ETF,38571,1705863,-1667292
iShares Russell 2000 ETF,880000,880000,0
Isis Pharmaceuticals Inc,5574,0,5574
Israel Chemicals Ltd,16865,16865,0
iStar Financial Inc,69600,59600,10000
Iterum Therapeutics plc,230777,232229,-1452
Itron Inc,29903,25303,4600
ITT Inc,107959,112892,-4933
J&J Snack Foods Corp,16102,14802,1300
j2 Global Inc,34337,32037,2300
Jabil Circuit Inc,729103,271603,457500
Jack Henry & Associates Inc,33369,24250,9119
Jack in the Box Inc,28969,28069,900
Jacobs Engineering Group Inc,34020,27400,6620
Janus Henderson Group PLC,1212640,613834,598806
Jazz Pharmaceuticals Plc,309340,287341,21999
JB Hunt Transport Services Inc,23400,24000,-600
JBG SMITH Properties,81960,70860,11100
JDS Uniphase Corp,198417,198417,0
JetBlue Airways Corp,1638702,1452561,186141
John B Sanfilippo & Son Inc,12433,11333,1100
John Bean Technologies Corp,24119,22419,1700
John Wiley & Sons Inc,179201,210637,-31436
Johnson & Johnson,4428089,4157562,270527
Johnson Controls International PLC,361692,280884,80808
Jones Lang LaSalle Inc,45055,48555,-3500
JPMorgan Chase & Co,3486491,3656286,-169795
Juniper Networks Inc,684795,777545,-92750
Kaiser Aluminum Corp,15835,14135,1700
Kaman Corp,27585,24785,2800
Kansas City Southern,34282,85796,-51514
KAR Auction Services Inc,62579,0,62579
Karuna Therapeutics Inc,103466,95157,8309
KB Home,63408,59108,4300
KBR Inc,113647,103147,10500
Kellogg Co,169057,204366,-35309
Kemper Corp,60380,54080,6300
Kennametal Inc,71088,53388,17700
KeyCorp,311610,253861,57749
Keysight Technologies Inc,128013,88353,39660
Kilroy Realty Corp,85551,66351,19200
Kimberly-Clark Corp,328336,368832,-40496
Kimco Realty Corp,986766,1664266,-677500
Kinder Morgan Inc/DE,4169084,4363058,-193974
Kinross Gold Corp,37121,37121,0
Kirby Corp,43137,35437,7700
Kirkland Lake Gold Ltd,9800,9800,0
Kite Realty Group Trust,89849,80249,9600
KLA-Tencor Corp,34946,63506,-28560
Knight-Swift Transportation Holdings Inc,5732065,5685131,46934
Knowles Corp,77561,66461,11100
Kohl's Corp,57422,127322,-69900
Kontoor Brands Inc,56416,67157,-10741
Koppers Holdings Inc,19767,17067,2700
Korn/Ferry International,51008,43908,7100
Kosmos Energy Ltd,659280,0,659280
Kraft Heinz Co/The,237829,429727,-191898
Kraton Performance Polymers Inc,35103,30103,5000
Kroger Co/The,1258976,1512179,-253203
Kulicke & Soffa Industries Inc,66174,66174,0
Kura Oncology Inc,13294,13294,0
L3 Harris Corp,101406,87883,13523
Laboratory Corp of America Holdings,230469,244219,-13750
Laclede Group Inc/The,34987,34987,0
Lam Research Corp,179311,197431,-18120
Lamar Advertising Co,106411,115161,-8750
Lamb Weston Holdings Inc,100095,122550,-22455
Lancaster Colony Corp,16983,16983,0
Landstar System Inc,62491,39591,22900
Lannett Co Inc,54500,54500,0
Lantheus Holdings Inc,36300,29500,6800
Lazard Ltd,210663,196563,14100
La-Z-Boy Inc,39986,39986,0
Lear Corp,247888,236312,11576
Legg Mason Inc,70756,63456,7300
Leggett & Platt Inc,55002,69277,-14275
Leidos Holdings Inc,219540,258275,-38735
Lennar Corp,112380,203899,-91519
Lennox International Inc,27785,22985,4800
Leucadia National Corp,1284994,735750,549244
Lexington Realty Trust,210819,169819,41000
LGI Homes Inc,17400,13900,3500
LHC Group Inc,46232,43532,2700
Liberty Broadband Corp,37000,0,37000
Liberty Interactive Corp,1288100,1734550,-446450
Liberty SiriusXM Group,548350,812600,-264250
Life Technologies Corp,37884,37884,0
Ligand Pharmaceuticals Inc,16834,15634,1200
LIN Media LLC,64975,66875,-1900
Lincoln Electric Holdings Inc,45755,47755,-2000
Lincoln National Corp,928207,810053,118154
Lindsay Corp,31424,31424,0
Lion Biotechnologies Inc,20134,8162,11972
Lithia Motors Inc,18683,18683,0
Littelfuse Inc,29572,29501,71
LivaNova PLC,37038,33938,3100
Live Nation Entertainment Inc,114243,94743,19500
Livent Corp,859049,835205,23844
LivePerson Inc,55748,57748,-2000
LKQ Corp,5159765,5201879,-42114
Lockheed Martin Corp,90757,83673,7084
Loews Corp,159379,178889,-19510
LogMeIn Inc,215186,257236,-42050
Louisiana-Pacific Corp,105620,105620,0
Lovesac Co/The,42709,17159,25550
Lowe's Cos Inc,257504,312484,-54980
LPL Financial Holdings Inc,58740,47900,10840
LTC Properties Inc,42664,37164,5500
Lululemon Athletica Inc,4350,23900,-19550
Lumber Liquidators Holdings Inc,49796,49796,0
Lumentum Holdings Inc,57853,46153,11700
Luminex Corp,38939,34339,4600
Lydall Inc,22501,17501,5000
LyondellBasell Industries NV,1427864,1354754,73110
M&T Bank Corp,35988,55572,-19584
M/I Homes Inc,25155,22855,2300
Macerich Co/The,90857,81887,8970
Mack-Cali Realty Corp,82605,68605,14000
Macquarie Infrastructure Co LLC,42177,75917,-33740
Macy's Inc,206281,214180,-7899
Magellan Health Inc,21335,18335,3000
Magellan Midstream Partners LP,1155500,1172138,-16638
Magenta Therapeutics Inc,104175,17004,87171
Magna International Inc,10798,42441,-31643
Manhattan Associates Inc,56605,45585,11020
Manpowergroup Inc,385388,380138,5250
ManTech International Corp/VA,10700,3100,7600
Manulife Financial Corp,96300,96300,0
Marathon Oil Corp,1391319,1423119,-31800
Marathon Petroleum Corp,262484,197928,64556
Marcus Corp/The,10100,6000,4100
MarineMax Inc,34997,31497,3500
Markel Corp,775,0,775
MarketAxess Holdings Inc,7350,6900,450
Marriott International Inc/DE,1579615,1575729,3886
Marriott Vacations Worldwide Corp,32368,26768,5600
Marsh & McLennan Cos Inc,193371,210925,-17554
Martin Marietta Materials Inc,31587,27787,3800
Marvell Technology Group Ltd,85091,38247,46844
Masco Corp,328927,375561,-46634
Masimo Corp,38855,35555,3300
MasTec Inc,45500,35900,9600
Mastercard Inc,1076374,1086046,-9672
Matador Resources Co,125463,116663,8800
Materials Select Sector SPDR Fund,9231,11520,-2289
Matrix Service Co,32063,29763,2300
Matson Inc,31783,27983,3800
Mattel Inc,225100,22500,202600
Matthews International Corp,26301,23701,2600
Maxim Integrated Products Inc,51800,49150,2650
MAXIMUS Inc,55013,53613,1400
MaxLinear Inc,62300,55400,6900
McCormick & Co Inc/MD,67615,76036,-8421
McDonald's Corp,446049,390540,55509
McGraw Hill Financial Inc,75663,67973,7690
McKesson Corp,169203,170192,-989
MDC Holdings Inc,47706,47706,0
MDU Resources Group Inc,163837,376437,-212600
Medallia Inc,35513,0,35513
Medical Properties Trust Inc,591838,889078,-297240
Medifast Inc,10300,8300,2000
MEDNAX Inc,427982,336689,91293
Medpace Holdings Inc,23500,21100,2400
Medtronic Inc,515375,502877,12498
MeiraGTx Holdings plc,16887,15887,1000
Mellanox Technologies Ltd,6049,9101,-3052
MercadoLibre Inc,593,0,593
Merck & Co Inc,4606512,4751528,-145016
Mercury General Corp,82967,69627,13340
Mercury Systems Inc,41521,40021,1500
Meredith Corp,42970,32270,10700
Merit Medical Systems Inc,46720,37820,8900
Meritage Homes Corp,31969,31969,0
Mesa Laboratories Inc,3100,2400,700
Meta Financial Group Inc,36000,29000,7000
Methanex Corp,2479,2479,0
Methode Electronics Inc,32217,28817,3400
MetLife Inc,1019763,1109991,-90228
Mettler-Toledo International Inc,16186,16748,-562
MFA Financial Inc,629210,0,629210
Michael Kors Holdings Ltd,163989,241041,-77052
Michaels Cos Inc/The,87195,87195,0
Microchip Technology Inc,46909,49609,-2700
Micron Technology Inc,508421,569740,-61319
Microsoft Corp,9487124,9476597,10527
MicroStrategy Inc,7384,7384,0
Mid-America Apartment Communities Inc,54138,46935,7203
Minerals Technologies Inc,28021,23321,4700
Mirati Therapeutics Inc,2900,2650,250
Mirum Pharmaceuticals Inc,4706,3706,1000
MKS Instruments Inc,106053,101453,4600
Mobile Mini Inc,41801,37201,4600
Mohawk Industries Inc,101251,75081,26170
Molecular Templates Inc,17514,0,17514
Molina Healthcare Inc,46887,43887,3000
Momenta Pharmaceuticals Inc,82273,77473,4800
Mondelez International Inc,882580,907619,-25039
MongoDB Inc,33932,70690,-36758
Monolithic Power Systems Inc,155279,149167,6112
Monro Muffler Brake Inc,424060,412339,11721
Moody's Corp,45237,45215,22
Moog Inc,24120,22920,1200
Morgan Stanley,872981,862502,10479
Morningstar Inc,2239,2239,0
Morphic Holding Inc,73722,72872,850
Mosaic Co/The,168516,149214,19302
Motorcar Parts of America Inc,19836,17636,2200
Motorola Solutions Inc,506819,506307,512
Movado Group Inc,16497,14997,1500
MSA Safety Inc,25786,21786,4000
MSC Industrial Direct Co Inc,39363,38963,400
MSCI Inc,11900,12500,-600
MTS Systems Corp,14868,13568,1300
Mueller Industries Inc,39983,35683,4300
Murphy Oil Corp,288915,308805,-19890
Murphy USA Inc,23200,18200,5000
Mylan Inc/PA,187180,353235,-166055
MyoKardia Inc,42873,5978,36895
Myriad Genetics Inc,57098,54798,2300
NASDAQ OMX Group Inc/The,68050,68900,-850
Natera Inc,4637,4637,0
National Fuel Gas Co,652816,693121,-40305
National Instruments Corp,83277,69977,13300
National Oilwell Varco Inc,134161,127107,7054
National Retail Properties Inc,171299,168239,3060
National Storage Affiliates Trust,62000,56000,6000
Natus Medical Inc,26337,24237,2100
Navient Corp,2006250,1908100,98150
NCR Corp,101020,76520,24500
Neenah Paper Inc,17750,17750,0
Nektar Therapeutics,149500,130950,18550
Neogen Corp,39879,37379,2500
NeoGenomics Inc,80800,66000,14800
NetApp Inc,438166,623154,-184988
NETGEAR Inc,26617,24917,1700
Netscout Systems Inc,63960,63960,0
Neurocrine Biosciences Inc,110848,111204,-356
New Jersey Resources Corp,60207,60207,0
New Relic Inc,16650,16092,558
New York Community Bancorp Inc,684074,677564,6510
New York Mortgage Trust Inc,157700,65000,92700
New York Times Co/The,111900,96000,15900
Newell Rubbermaid Inc,145002,148602,-3600
NewMarket Corp,6101,6101,0
Newmont Mining Corp,357312,383952,-26640
Newpark Resources Inc,102000,86300,15700
News Corp,374467,418017,-43550
Nexstar Broadcasting Group Inc,50900,52600,-1700
NextEra Energy Inc,1112148,1151313,-39165
NIC Inc,55498,47798,7700
Nielsen Holdings NV,133891,123341,10550
NIKE Inc,2245458,2317044,-71586
NiSource Inc,279803,269503,10300
NMI Holdings Inc,61600,52900,8700
Noble Energy Inc,238299,196899,41400
Nordson Corp,36404,32404,4000
Nordstrom Inc,164101,200001,-35900
Norfolk Southern Corp,90709,70759,19950
Northeast Utilities,128645,131419,-2774
Northern Trust Corp,896270,893783,2487
Northrop Grumman Corp,81770,51715,30055
Northwest Bancshares Inc,129827,118027,11800
Northwest Natural Hldg Co.,26066,24966,1100
NorthWestern Corp,275176,278570,-3394
Norwegian Cruise Line Holdings Ltd,628075,391750,236325
Novartis AG,96448,98096,-1648
NOW Inc/DE,107987,91587,16400
NRG Energy Inc,688694,766153,-77459
Nu Skin Enterprises Inc,438760,227643,211117
Nucor Corp,687040,610290,76750
Nutanix Inc,3908,3908,0
Nutrien Ltd,28239,28239,0
NuVasive Inc,39187,36487,2700
nVent Electric PLC,151881,104800,47081
NVIDIA Corp,746656,705601,41055
NVR Inc,1570,430,1140
NXP Semiconductor NV,18313,16600,1713
Occidental Petroleum Corp,229431,156231,73200
