Entity Name,EPA Holdings,LLC Holdings,Difference
Oceaneering International Inc,103752,92352,11400
OFG Bancorp,46999,41699,5300
OGE Energy Corp,207041,381591,-174550
Oil States International Inc,74513,74513,0
Okta Inc,33858,29025,4833
Old Dominion Freight Line Inc,92332,122043,-29711
Old National Bancorp/IN,149230,133530,15700
Old Republic International Corp,1103964,472864,631100
Olin Corp,192634,534924,-342290
Ollie's Bargain Outlet Holdings Inc,51736,50236,1500
Omega Healthcare Investors Inc,253158,304057,-50899
Omnicell Inc,32700,29700,3000
Omnicom Group Inc,252801,343406,-90605
On Assignment Inc,40642,35142,5500
ON Semiconductor Corp,738350,719900,18450
ONE Gas Inc,40370,40370,0
OneMain Holdings Inc,503550,481400,22150
ONEOK Inc,1316452,1307099,9353
Open Text Corp,24100,24100,0
Oracle Corp,742258,829220,-86962
OraSure Technologies Inc,59818,45918,13900
O'Reilly Automotive Inc,740923,739911,1012
Orthofix International NV,6300,3900,2400
OrthoPediatrics Corp,42577,22577,20000
Oshkosh Corp,271470,364620,-93150
OSI Systems Inc,15102,12302,2800
Owens Corning,469170,330920,138250
Owens-Illinois Inc,163083,153727,9356
Oxford Industries Inc,14965,13265,1700
PACCAR Inc,597263,629213,-31950
Pacific Premier Bancorp Inc,31300,25300,6000
Pacira Pharmaceuticals Inc/DE,9300,0,9300
Packaging Corp of America,71290,34100,37190
PacWest Bancorp,330994,222036,108958
Pagerduty Inc,14617,0,14617
Palo Alto Networks Inc,66769,64951,1818
Papa John's International Inc,25963,25963,0
Par Pacific Holdings Inc,36600,21500,15100
Parametric Sound Corp,57443,72143,-14700
Paramount Group Inc,8100,0,8100
Park Hotels & Resorts Inc,1029109,1163723,-134614
Parker Hannifin Corp,45895,74151,-28256
Parsley Energy Inc,39117,0,39117
Patrick Industries Inc,21800,20900,900
Patterson Cos Inc,84800,70100,14700
Patterson-UTI Energy Inc,1788854,1026344,762510
Paychex Inc,259813,267213,-7400
Paycom Software Inc,8264,11945,-3681
Paylocity Holding Corp,9113,5864,3249
PayPal Holdings Inc,340724,465276,-124552
PBF Energy Inc,99517,99517,0
PDC Energy Inc,63098,63098,0
Pebblebrook Hotel Trust,85700,53200,32500
Pegasystems Inc,5952,4796,1156
Pembina Pipeline Corp,28800,28800,0
Penn Virginia Corp,22400,18200,4200
Pennant Group Inc/The,23252,0,23252
PennyMac Mortgage Investment Trust,81000,37900,43100
Pentair Ltd,58046,80446,-22400
Penumbra Inc,23100,0,23100
People's United Financial Inc,1318288,1352932,-34644
Perficient Inc,31715,31715,0
PerkinElmer Inc,50843,50193,650
Perspecta Inc,107000,90800,16200
PetIQ Inc,780079,753964,26115
PetMed Express Inc,25217,25217,0
Pfizer Inc,2059837,2475052,-415215
PGT Inc,56867,45267,11600
PH Glatfelter Co,39897,35297,4600
Phathom Pharmaceuticals Inc,616857,0,616857
Phillips 66,145927,205871,-59944
Phillips 66 Partners LP,18318,48780,-30462
Photronics Inc,18700,10200,8500
Pieris Pharmaceuticals Inc,55452,0,55452
Pilgrim's Pride Corp,117039,150852,-33813
Pinnacle Financial Partners Inc,58995,53195,5800
Pinnacle West Capital Corp,544041,632843,-88802
Pioneer Natural Resources Co,58382,79114,-20732
Piper Jaffray Cos,13268,10968,2300
Plains All American Pipeline LP,37574,49599,-12025
Plantronics Inc,28721,28721,0
Plexus Corp,25472,22972,2500
Pluralsight Inc,4461122,4464106,-2984
PNC Financial Services Group Inc/The,101801,100071,1730
PNM Resources Inc,63132,63132,0
Polaris Industries Inc,59371,47601,11770
PolyOne Corp,63708,53508,10200
Pool Corp,49931,36560,13371
Popular Inc,227303,228020,-717
Portfolio Recovery Associates Inc,45554,40854,4700
Post Holdings Inc,89176,75876,13300
Potlatch Corp,56400,51500,4900
Power Integrations Inc,28408,25008,3400
PPG Industries Inc,33579,34606,-1027
PPL Corp,649421,1073295,-423874
Pra Health Sciences Inc,60624,55924,4700
Premier Inc,356200,319500,36700
Prestige Brands Holdings Inc,94750,89016,5734
Primerica Inc,34336,31236,3100
Principal Financial Group Inc,553047,545187,7860
Principia Biopharma Inc,6252,0,6252
ProAssurance Corp,47320,41720,5600
Procter & Gamble Co/The,1156324,1184815,-28491
Progress Software Corp,38672,38672,0
Progressive Corp/The,197383,175433,21950
Progressive Waste Solutions Ltd,100375,16836,83539
Prologis Inc,2245264,2270974,-25710
Proofpoint Inc,49958,46237,3721
ProPetro Holding Corp,291589,353689,-62100
Prospect Capital Corp,10000000,10000000,0
Prosperity Bancshares Inc,56036,55191,845
Proto Labs Inc,18952,16652,2300
Providence Service Corp/The,11734,10834,900
Prudential Financial Inc,421275,390172,31103
PS Business Parks Inc,16516,16516,0
PTC Inc,91630,88930,2700
PTC Therapeutics Inc,16798,0,16798
Public Service Enterprise Group Inc,135127,200332,-65205
Public Storage,217644,230215,-12571
PulteGroup Inc,423129,711579,-288450
Pure Storage Inc,55308,14500,40808
PVH Corp,47566,65283,-17717
Q2 Holdings Inc,3177,3177,0
QIAGEN NV,51739,47508,4231
Qorvo Inc,348526,379646,-31120
Quaker Chemical Corp,11651,8851,2800
QUALCOMM Inc,385966,223345,162621
Quality Systems Inc,49084,45284,3800
Qualys Inc,30729,29629,1100
Quanex Building Products Corp,29184,24784,4400
Quanta Services Inc,60200,71250,-11050
Quest Diagnostics Inc,364259,356900,7359
QuinStreet Inc,43900,37200,6700
Quintiles Transnational Holdings Inc,868562,857928,10634
Ralph Lauren Corp,45600,52117,-6517
Rambus Inc,111857,101857,10000
Ramco-Gershenson Properties Trust,57900,44500,13400
Raymond James Financial Inc,50333,39000,11333
Rayonier Inc,134047,125847,8200
Raytheon Co,45532,33777,11755
RE/MAX Holdings Inc,25703,25703,0
Realogy Holdings Corp,52600,0,52600
RealPage Inc,21726,14473,7253
Realty Income Corp,102161,164307,-62146
Reata Pharmaceuticals Inc,3014,2889,125
Red Robin Gourmet Burgers Inc,22950,18050,4900
Redwood Trust Inc,89200,55900,33300
Regal-Beloit Corp,111754,101054,10700
Regency Centers Corp,101774,89574,12200
Regeneron Pharmaceuticals Inc,42531,33656,8875
REGENXBIO Inc,26700,26100,600
Regions Financial Corp,287101,305751,-18650
Regis Corp,34892,34892,0
Reinsurance Group of America Inc,130054,167878,-37824
Reliance Steel & Aluminum Co,415918,224968,190950
RenaissanceRe Holdings Ltd,36517,27117,9400
Renewable Energy Group Inc,43700,42800,900
Rent-A-Center Inc/TX,43500,33900,9600
Repligen Corp,36017,32817,3200
Replimune Group Inc,97209,8256,88953
Republic Services Inc,350394,335270,15124
Resideo Technologies Inc,111800,283958,-172158
ResMed Inc,23511,24673,-1162
Restaurant Brands International Inc,14908,14908,0
Restoration Hardware Holdings Inc,13598,13598,0
Retail Opportunity Investments Corp,120952,97252,23700
REX American Resources Corp,8751,7751,1000
RingCentral Inc,2730,2022,708
Ritchie Bros Auctioneers Inc,1548165,1565722,-17557
RLI Corp,30484,30484,0
Robert Half International Inc,276521,336206,-59685
Rockwell Automation Inc,29636,63389,-33753
Rogers Communications Inc,18465,18465,0
Rogers Corp,15002,13702,1300
Rollins Inc,131020,91372,39648
Roper Industries Inc,29383,25583,3800
Ross Stores Inc,667962,689780,-21818
Royal Bank of Canada,1560387,1673939,-113552
Royal Caribbean Cruises Ltd,331273,255912,75361
Royal Gold Inc,65776,82356,-16580
RPM International Inc,100228,90128,10100
Ruth's Hospitality Group Inc,15700,6800,8900
Ryder System Inc,856137,821318,34819
Sabra Health Care REIT Inc,158737,127237,31500
Sabre Corp,407380,267880,139500
Sage Therapeutics Inc,19356,19006,350
Saia Inc,115882,104439,11443
Salesforce.com Inc,1035369,1035735,-366
Sally Beauty Holdings Inc,99000,87500,11500
Sanderson Farms Inc,16683,15183,1500
Sangamo Biosciences Inc,14316,13316,1000
Sanmina Corp,59908,46308,13600
Santander Consumer USA Holdings Inc,1096420,1130390,-33970
SAP SE,1415,1415,0
Sarepta Therapeutics Inc,2803,2803,0
SBA Communications Corp,65980,56520,9460
ScanSource Inc,20602,17702,2900
Schlumberger Ltd,278976,138282,140694
Schneider National Inc,53950,101700,-47750
Scholastic Corp,24336,20636,3700
Science Applications International Corp,35759,26885,8874
Scotts Miracle-Gro Co/The,29237,28737,500
Seacoast Banking Corp of Florida,26000,20900,5100
SEACOR Holdings Inc,20799,19099,1700
Seagate Technology PLC,52240,64875,-12635
Sealed Air Corp,82568,114738,-32170
SEI Investments Co,172587,111687,60900
Select Comfort Corp,40184,40184,0
Select Medical Holdings Corp,88555,73055,15500
Selective Insurance Group Inc,44384,41384,3000
Sempra Energy,30519,30819,-300
Semtech Corp,52223,46623,5600
Seneca Foods Corp,7133,7133,0
Senior Housing Properties Trust,203930,196830,7100
Sensient Technologies Corp,35600,28600,7000
Service Corp International/US,196683,193799,2884
ServiceMaster Global Holdings Inc,77990,3318,74672
ServiceNow Inc,119937,103566,16371
ServisFirst Bancshares Inc,39735,39735,0
Shake Shack Inc,29835,24235,5600
Shaw Communications Inc,39318,39032,286
Sherwin-Williams Co/The,121296,132754,-11458
Shoe Carnival Inc,13500,13500,0
Shopify Inc,457870,443075,14795
Shutterstock Inc,18852,16452,2400
Signature Bank/New York NY,54269,42240,12029
Signet Jewelers Ltd,57500,57500,0
Silgan Holdings Inc,68108,58108,10000
Silicon Laboratories Inc,37004,37004,0
Silk Road Medical Inc,130306,30808,99498
Silver Wheaton Corp,23578,23500,78
Simmons First National Corp,90140,78740,11400
Simon Property Group Inc,76649,85049,-8400
Simpson Manufacturing Co Inc,29287,27987,1300
Simulations Plus Inc,41454,35717,5737
Sinclair Broadcast Group Inc,303000,93198,209802
SITE CTRS CORP,1022200,910900,111300
Six Flags Entertainment Corp,66100,63500,2600
Skechers U.S.A. Inc,206537,364759,-158222
SkyWest Inc,38052,33552,4500
Skyworks Solutions Inc,441491,440181,1310
SL Green Realty Corp,91639,85739,5900
Slack Technologies Inc,9777,8436,1341
SLM Corp,372763,311863,60900
SM Energy Co,127929,127929,0
SMART Global Holdings Inc,20000,20000,0
Smartsheet Inc,32154,23226,8928
Snap-on Inc,423960,437209,-13249
SolarEdge Technologies Inc,37800,30500,7300
SolarWinds Inc,36937,36937,0
Sonic Automotive Inc,31363,31363,0
Sonoco Products Co,80455,73255,7200
South Jersey Industries Inc,73989,63189,10800
Southern Co/The,2981013,3134971,-153958
Southwest Airlines Co,843696,903975,-60279
Southwest Gas Corp,35188,32688,2500
Sovran Self Storage Inc,40201,62650,-22449
SpartanNash Co,56685,48085,8600
SPDR Bloomberg Barclays International Corporate Bo,14060,14060,0
SPDR S&P 500 ETF Trust,239740,154818,84922
Spectrum Brands Holdings Inc,26068,18037,8031
Spectrum Pharmaceuticals Inc,98500,90500,8000
Spirit Aerosystems Holdings Inc,168042,258507,-90465
Spirit Realty Capital Inc,79484,56543,22941
Splunk Inc,686212,685687,525
Spotify Technology SA,14800,16800,-2000
Sprouts Farmers Market Inc,1627395,1567865,59530
SPS Commerce Inc,29370,29370,0
SPX Corp,36888,29888,7000
SPX FLOW Inc,35818,30818,5000
Square Inc,5704,32967,-27263
SS&C Technologies Holdings Inc,105243,123173,-17930
STAAR Surgical Co,788828,904120,-115292
Stamps.com Inc,18451,18451,0
Standard Motor Products Inc,16635,13535,3100
Standex International Corp,11118,9718,1400
Stanley Black & Decker Inc,19389,20889,-1500
Starwood Property Trust Inc,244829,283625,-38796
State Street Corp,69548,68419,1129
Steel Dynamics Inc,1208359,1154959,53400
Stepan Co,15186,13786,1400
Stericycle Inc,70400,110605,-40205
STERIS Corp,69905,71660,-1755
Sterling Bancorp/DE,854101,210901,643200
Steven Madden Ltd,57124,57124,0
Stifel Financial Corp,50488,43788,6700
Stoke Therapeutics Inc,9073,0,9073
STORE Capital Corp,136884,119778,17106
Strayer Education Inc,15500,10100,5400
Stryker Corp,1661046,1647311,13735
Sturm Ruger & Co Inc,17486,17486,0
Summit Hotel Properties Inc,104565,87365,17200
Sun Life Financial Inc,31900,31900,0
Suncor Energy Inc,68559,67892,667
Supernus Pharmaceuticals Inc,51586,38786,12800
Surmodics Inc,11600,9900,1700
SVB Financial Group,134113,150215,-16102
Switch Inc,596208,439358,156850
Sykes Enterprises Inc,37506,31406,6100
Symantec Corp,182537,150838,31699
Synaptics Inc,35251,35251,0
Synchrony Financial,1250046,1064412,185634
Syndax Pharmaceuticals Inc,23219,23219,0
SYNNEX Corp,34486,27886,6600
Synopsys Inc,27452,25023,2429
Synovus Financial Corp,153978,123078,30900
Sysco Corp,789934,791964,-2030
T Rowe Price Group Inc,41266,27250,14016
Tabula Rasa HealthCare Inc,21100,21100,0
Tactile Systems Technology Inc,17100,13800,3300
Taiwan Semiconductor Manufacturing Co Ltd,210608,185858,24750
Talend SA,996,0,996
Tanger Factory Outlet Centers Inc,101350,91350,10000
Target Corp,536759,588249,-51490
Taser International Inc,44689,40989,3700
Taubman Centers Inc,56203,47603,8600
TC Pipelines LP,1524925,1584853,-59928
TE Connectivity Ltd,41815,42135,-320
Team Inc,32599,29299,3300
TechTarget Inc,16700,9600,7100
Teck Resources Ltd,29588,29588,0
TEGNA Inc,194715,194715,0
Teladoc Inc,1511303,1570787,-59484
Teledyne Technologies Inc,30991,36689,-5698
Teleflex Inc,15070,13734,1336
Telephone & Data Systems Inc,907034,866534,40500
TELUS Corp,24600,24600,0
Tempur Sealy International Inc,33552,31552,2000
Tenable Holdings Inc,1554,0,1554
Tenet Healthcare Corp,79273,69273,10000
Tennant Co,13719,12119,1600
Teradata Corp,86439,78339,8100
Teradyne Inc,315515,383765,-68250
Terex Corp,57161,52461,4700
Tesla Motors Inc,2554,0,2554
Tessera Technologies Inc,49970,44070,5900
Tetra Tech Inc,42291,36491,5800
Teva Pharmaceutical Finance Co LLC,5000000,5000000,0
Texas Instruments Inc,1290121,1436470,-146349
Texas Roadhouse Inc,56216,55016,1200
Textron Inc,116075,180366,-64291
Theravance Biopharma Inc,12162,12162,0
Theravance Inc,77701,69401,8300
Thermo Fisher Scientific Inc,1058143,1078832,-20689
Third Point Reinsurance Ltd,18500,9100,9400
Thomson Reuters Corp,12572,12509,63
Thor Industries Inc,69922,36002,33920
Timken Co,502804,381314,121490
TiVo Inc,124887,105987,18900
TJX Cos Inc,4755790,4889502,-133712
T-Mobile US Inc,63961,70465,-6504
Toll Brothers Inc,163905,222855,-58950
Tootsie Roll Industries Inc,27160,24560,2600
TopBuild Corp,29418,23218,6200
Torchmark Corp,132960,119217,13743
Toro Co/The,117593,80303,37290
Toronto-Dominion Bank/The,1222107,1238905,-16798
Towers Watson & Co,18163,18163,0
Tractor Supply Co,87650,118998,-31348
Trade Desk Inc/The,17487,7484,10003
TransCanada Corp,41231,41231,0
TransDigm Group Inc,5850,6300,-450
Translate Bio Inc,37849,0,37849
TransUnion,8421,12863,-4442
Travelers Cos Inc/The,77983,65220,12763
Tredegar Corp,20949,18949,2000
Tree.com Inc,6300,5700,600
TreeHouse Foods Inc,57164,60647,-3483
Trex Co Inc,67835,37034,30801
TRI Pointe Group Inc,130914,108714,22200
Trimble Navigation Ltd,202219,211203,-8984
TriNet Group Inc,12884,0,12884
Trinity Industries Inc,124210,124260,-50
Trinseo SA,32800,23400,9400
TripAdvisor Inc,93898,100555,-6657
Triumph Bancorp Inc,6600,4400,2200
Triumph Group Inc,51671,51671,0
TrueBlue Inc,34903,31103,3800
Trupanion Inc,211183,212991,-1808
Trustmark Corp,66959,66859,100
TTM Technologies Inc,96420,90420,6000
Tupperware Brands Corp,39955,39855,100
Twenty-First Century Fox Inc,1087593,1159517,-71924
Twilio Inc,10985,31344,-20359
Twist Bioscience Corp,133456,158075,-24619
Twitter Inc,143176,108857,34319
Tyler Technologies Inc,38329,35229,3100
Tyson Foods Inc,259071,341444,-82373
Uber Technologies Inc,23266,0,23266
UBS Group AG,203994,203994,0
UDR Inc,168516,167366,1150
UGI Corp,308707,134379,174328
Ulta Salon Cosmetics & Fragrance Inc,64517,71916,-7399
Ultra Clean Holdings Inc,61800,61800,0
UMB Financial Corp,37800,34600,3200
Umpqua Holdings Corp,182562,152962,29600
Under Armour Inc,286895,279439,7456
UniFirst Corp/MA,11735,11735,0
Union Pacific Corp,1680290,1713672,-33382
uniQure NV,5601,0,5601
Unisys Corp,42100,42100,0
United Bankshares Inc/WV,77353,70953,6400
United Community Banks Inc/GA,77668,70968,6700
United Continental Holdings Inc,605946,547132,58814
United Fire Group Inc,19667,19667,0
United Insurance Holdings Corp,26615,24815,1800
United Natural Foods Inc,96070,96070,0
United Parcel Service Inc,110223,124653,-14430
United Rentals Inc,124266,160816,-36550
United States Cellular Corp,198850,212900,-14050
United States Steel Corp,158325,142025,16300
United Technologies Corp,202585,132689,69896
United Therapeutics Corp,37689,59850,-22161
UnitedHealth Group Inc,1603976,1619234,-15258
Uniti Group Inc,196099,140058,56041
Universal Display Corp,32600,30300,2300
Universal Electronics Inc,12051,12051,0
Universal Forest Products Inc,46020,37820,8200
Universal Health Services Inc,267984,237598,30386
Universal Insurance Holdings Inc,29499,29499,0
Unum Group,1141468,1050464,91004
Upland Software Inc,11598,5008,6590
Urban Edge Properties,107251,85551,21700
US Bancorp/MN,3608699,3834859,-226160
US Concrete Inc,16601,16601,0
US Ecology Inc,23468,18168,5300
US Foods Holding Corp,274268,375353,-101085
US Physical Therapy Inc,24463,10784,13679
USANA Health Sciences Inc,11100,8600,2500
Valeant Pharmaceuticals International Inc,15300,15300,0
Valero Energy Corp,227266,263557,-36291
Valley National Bancorp,222616,191016,31600
Valmont Industries Inc,15802,14902,900
Valvoline Inc,133717,133717,0
Vanda Pharmaceuticals Inc,46800,40100,6700
VanEck Vectors International High Yield Bond ETF,123684,123684,0
Vanguard FTSE All World ex-US Small-Cap ETF,304181,317032,-12851
Vanguard FTSE Emerging Markets ETF,3935694,3935694,0
Vanguard Intermediate-Term Corporate Bond ETF,500,500,0
Vanguard Small-Cap ETF,212982,236587,-23605
Varex Imaging Corp,33405,28505,4900
Varian Medical Systems Inc,68033,79604,-11571
VASCO Data Security International Inc,28219,26219,2000
Veeco Instruments Inc,62053,62053,0
Veeva Systems Inc,85871,77050,8821
Ventas Inc,233871,204174,29697
Verint Systems Inc,3605,3605,0
VeriSign Inc,200233,224263,-24030
Verisk Analytics Inc,80358,29867,50491
Veritex Holdings Inc,34100,26000,8100
Veritiv Corp,19066,19066,0
Verizon Communications Inc,2151103,2141599,9504
Verso Corp,27787,27787,0
Vertex Pharmaceuticals Inc,810117,784927,25190
VF Corp,76175,63271,12904
ViaSat Inc,38453,59503,-21050
Vicor Corp,15600,15200,400
Virtus Investment Partners Inc,8002,7502,500
Virtusa Corp,33081,28681,4400
Visa Inc,2834759,2804651,30108
Vishay Intertechnology Inc,115145,107945,7200
VistaPrint NV,90613,82586,8027
Visteon Corp,23100,23100,0
Vistra Energy Corp,2158304,1232428,925876
VMware Inc,12547,19307,-6760
Vocera Communications Inc,509060,457195,51865
Vonage Holdings Corp,218583,156283,62300
Vornado Realty Trust,78385,77885,500
Voya Financial Inc,851121,758086,93035
Vulcan Materials Co,32766,42070,-9304
Wabash National Corp,51171,42471,8700
Wabtec Corp/DE,1319546,1316805,2741
Waddell & Reed Financial Inc,86321,78521,7800
Walgreens Boots Alliance Inc,692550,688801,3749
Walker & Dunlop Inc,26053,22353,3700
Wal-Mart Stores Inc,2196180,2164123,32057
Walt Disney Co/The,2655167,2749635,-94468
Washington Federal Inc,74319,68619,5700
Washington Post Co/The,3951,3451,500
Washington Real Estate Investment Trust,29900,20400,9500
Waste Management Inc,496767,411385,85382
Waters Corp,14616,17920,-3304
Watsco Inc,25485,21285,4200
Watts Water Technologies Inc,23005,19705,3300
Wayfair Inc,83813,22849,60964
WD-40 Co,13084,11584,1500
Webster Financial Corp,73771,64871,8900
Weight Watchers International Inc,58800,58800,0
Weingarten Realty Investors,908256,696256,212000
WellCare Health Plans Inc,33491,24709,8782
WellPoint Inc,92750,64184,28566
Wells Fargo & Co,5123788,5181024,-57236
Wendy's Co/The,178309,195574,-17265
Werner Enterprises Inc,45947,36047,9900
WESCO International Inc,25800,0,25800
West Pharmaceutical Services Inc,58657,49005,9652
Westamerica Bancorporation,24436,22536,1900
Western Digital Corp,136521,98229,38292
Western Union Co/The,929912,920312,9600
Westlake Chemical Corp,38564,18885,19679
WestRock Co,685787,939677,-253890
WEX Inc,38631,34964,3667
Weyerhaeuser Co,112912,123662,-10750
Whirlpool Corp,18095,18395,-300
Whiting Petroleum Corp,30881000,11007000,19874000
Williams Cos Inc/The,144200,137050,7150
Williams-Sonoma Inc,67484,119034,-51550
Willis Group Holdings PLC,28066,20079,7987
Wingstop Inc,32130,27530,4600
Winnebago Industries Inc,25882,21982,3900
Wintrust Financial Corp,49649,40549,9100
Wisconsin Energy Corp,160366,208533,-48167
Wix.com Ltd,6233,3257,2976
WNS Holdings Ltd,434275,375663,58612
Wolverine World Wide Inc,66867,66867,0
Woodward Inc,52012,39312,12700
Workday Inc,6176,18700,-12524
World Acceptance Corp,8200,6200,2000
World Fuel Services Corp,64681,53081,11600
World Wrestling Entertainment Inc,38987,32187,6800
Worthington Industries Inc,39053,34953,4100
WP Carey Inc,9146,0,9146
WPX Energy Inc,1383522,357772,1025750
WR Berkley Corp,10300,115351,-105051
WR Grace & Co,190569,150669,39900
WW Grainger Inc,9217,10317,-1100
Wyndham Hotels & Resorts Inc,127544,118908,8636
Wyndham Worldwide Corp,74600,64300,10300
Xcel Energy Inc,635169,625731,9438
Xencor Inc,39600,25300,14300
Xenia Hotels & Resorts Inc,57500,44500,13000
Xerox Corp,1384541,1369891,14650
Xilinx Inc,863310,870019,-6709
XPO Logistics Inc,92898,105721,-12823
Xylem Inc/NY,35100,30600,4500
Yelp Inc,54500,53300,1200
Yext Inc,2186,0,2186
Y-mAbs Therapeutics Inc,8801,8801,0
Yum China Holdings Inc,203040,167620,35420
Yum! Brands Inc,148819,197994,-49175
Zebra Technologies Corp,42084,55810,-13726
Zendesk Inc,16574,14960,1614
Zimmer Holdings Inc,33465,34069,-604
Zions Bancorporation,1768401,1769660,-1259
Zoetis Inc,131572,122252,9320
Zogenix Inc,55803,55528,275
Zoom Video Communications Inc,61155,15369,45786
Zscaler Inc,9937,7421,2516
Zumiez Inc,20200,14200,6000
